Frequenz (Hz)	Pegel (dB)
16781,250000	-80,862862
16828,125000	-80,663002
16875,000000	-80,757599
16921,875000	-80,805931
16968,750000	-80,999191
17015,625000	-80,561226
17062,500000	-80,161942
17109,375000	-80,494263
17156,250000	-81,090668
17203,125000	-81,343285
17250,000000	-81,545326
17296,875000	-81,314270
17343,750000	-81,538300
17390,625000	-81,338242
17437,500000	-81,572655
17484,375000	-81,481735
17531,250000	-81,207405
17578,125000	-81,588394
17625,000000	-81,704666
17671,875000	-81,207253
17718,750000	-81,441811
17765,625000	-81,103477
17812,500000	-81,098816
17859,375000	-81,615967
17906,250000	-82,066093
17953,125000	-82,057358
18000,000000	-81,788895
18046,875000	-81,603912
18093,750000	-81,636749
18140,625000	-81,806351
18187,500000	-82,214958
18234,375000	-81,898972
18281,250000	-82,023949
18328,125000	-82,098923
18375,000000	-82,461487
18421,875000	-82,364288
18468,750000	-82,364517
18515,625000	-81,967903
18562,500000	-82,167023
18609,375000	-82,379601
18656,250000	-82,661850
18703,125000	-82,881538
18750,000000	-82,668777
18796,875000	-82,659111
18843,750000	-82,759857
18890,625000	-82,730896
18937,500000	-82,970428
18984,375000	-82,980774
19031,250000	-82,934319
19078,125000	-82,875999
19125,000000	-82,869667
19171,875000	-82,991066
19218,750000	-83,264442
19265,625000	-83,093964
19312,500000	-83,381004
19359,375000	-83,507378
19406,250000	-83,115250
19453,125000	-83,033485
19500,000000	-82,936768
19546,875000	-83,047035
19593,750000	-83,325783
19640,625000	-83,247131
19687,500000	-83,458687
19734,375000	-83,833023
19781,250000	-83,734047
19828,125000	-83,568283
19875,000000	-83,201668
19921,875000	-83,203468
19968,750000	-83,440437
20015,625000	-83,503006
20062,500000	-83,332344
20109,375000	-83,436218
20156,250000	-83,734467
20203,125000	-83,614189
20250,000000	-83,657372
20296,875000	-83,868782
20343,750000	-83,780106
20390,625000	-83,293846
20437,500000	-83,342186
20484,375000	-83,741508
20531,250000	-83,901604
20578,125000	-83,755417
20625,000000	-83,546715
20671,875000	-83,683937
20718,750000	-83,725082
20765,625000	-83,672554
20812,500000	-84,062332
